retirement_age,,C1.1,,"Starting with those age 62 in 2025, increase the normal retirement age (NRA) 1 month every 2 years until the NRA reaches 68.",,0.43,0.71,12,15,,,,,,,,,,
retirement_age,,C1.2,,"Increase the normal retirement age (NRA) 2 months per year for those age 62 starting in 2025 and ending in 2030 (NRA reaches 68 for those age 62 in 2030).",,0.53,0.71,15,15,,,,,,,,,,
retirement_age,,C1.3,,"Starting for those age 62 in 2025, index the normal retirement age (NRA) to maintain a constant ratio of expected retirement years (life expectancy at NRA) to potential work years (NRA minus 20). We assume the NRA will increase 1 month every 2 years.",,0.68,1.80,19,39,,,,,,,,,,
retirement_age,,C1.4,,"Increase the normal retirement age (NRA) 3 months per year for those age 62 starting in 2025 and ending in 2032 (NRA reaches 69 for those age 62 in 2032). Increase the age up to which delayed retirement credits may be earned from 70 to 72 on the same schedule.",,1.32,2.56,38,55,,,,,,,,,,
retirement_age,,C1.6,,"Increase the earliest eligibility age (EEA) by 2 months per year for those age 62 starting in 2026 and ending in 2043 (EEA reaches 65 for those age 62 in 2043).",,0.64,1.35,18,29,,,,,,,,,,
retirement_age,,C1.7,,"Starting for those age 62 in 2025, index the normal retirement age (NRA) to maintain a constant ratio of expected retirement years (life expectancy at NRA) to potential work years (NRA minus 20). We assume the NRA will increase 1 month every 2 years. Also, increase the earliest eligibility age (EEA) by the same amount as the NRA starting for those age 62 in 2025.",,1.01,1.36,29,29,,,,,,,,,,
retirement_age,,C2.1,,"Starting for those age 62 in 2025, index the normal retirement age (NRA) to maintain a constant ratio of expected retirement years (life expectancy at NRA) to potential work years (NRA minus 20). We assume the NRA will increase 1 month every 2 years. Also, raise the earliest eligibility age (EEA) for retired-workers, aged widow(er)s, and disabled widow(er)s by the same amount as the NRA.",,,-0.10,-0.44,-3,-9,,,,,,,,,,
retirement_age,,C2.2,,"Increase the normal retirement age (NRA) 2 months per year for those age 62 starting in 2025 and ending in 2036 (NRA reaches 69 for those age 62 in 2036). Thereafter, increase the NRA 1 month every 2 years.",,0.66,1.51,19,33,,,,,,,,,,
retirement_age,,C2.3,,"Starting with those age 62 in 2025, increase the normal retirement age (NRA) 1 month every 2 years until the NRA reaches 69. Also increase the age up to which the delayed retirement credit may be earned at the same rate (from 70 to 72). No change to earliest eligibility age.",,0.49,1.15,14,25,,,,,,,,,,
retirement_age,,C2.4,,"Starting for those age 62 in 2025, increase both the normal retirement age (NRA) and the earliest eligibility age (EEA) by 36/47 of a month per year until the NRA and EEA reach 70 and 65 respectively. For each year, the computed NRA and EEA round down to the next lower full month.",,0.91,1.81,26,39,,,,,,,,,,
retirement_age,,C2.5,,"Starting for those age 62 in 2025, index the normal retirement age (NRA) to maintain a constant ratio of expected retirement years (life expectancy at NRA) to potential work years (NRA minus 20). We assume the NRA will increase 1 month every 2 years. Also, increase the earliest eligibility age (EEA) by the same amount as the NRA starting for those age 62 in 2025 so as to maintain a 5 year difference between the two ages.",,1.65,2.93,47,63,,,,,,,,,,
retirement_age,,C2.6,,"Starting for those age 62 in 2025, increase the normal retirement age (NRA) 3 months per year for those age 62 starting in 2025 and ending in 2030 (NRA reaches 67 and 6 months for those age 62 in 2030); thereafter increase the NRA 2 months per year until reaching 69; thereafter increase the NRA 1 month every 2 years.",,0.92,1.05,26,23,,,,,,,,,,
retirement_age,,C2.7,,"Starting for those age 62 in 2025, increase the normal retirement age (NRA) 3 months per year until reaching 69 for those age 62 in 2033; thereafter increase the NRA 1 month every 2 years until it reaches 70 for those age 62 in 2057.",,0.86,1.05,25,23,,,,,,,,,,
retirement_age,,C2.8,,"Starting for those age 62 in 2031, increase the normal retirement age (NRA) 2 months per year until reaching 69 and 8 months for those age 62 in 2042.",,0.38,0.68,11,15,,,,,,,,,,
